"","Lat","Lon"
"lat283",40.7845154,-73.9498287
"lat284",40.7855418,-73.9556712
"lat285",40.7230145,-73.9857665
"lat286",40.7783276,-73.9501722
"lat287",40.7739837,-73.9581973
"lat288",40.7788867,-73.9602326
"lat289",40.7791484,-73.9563485
"lat290",40.7805413,-73.9564838
"lat291",40.7641823,-73.9712767
"lat292",40.7807591,-73.9579098
"lat293",40.7845154,-73.9498287
"lat294",40.7808268,-73.9480828
"lat295",40.7729105,-73.9643348
"lat296",40.7740301,-73.9545642
"lat297",40.7793931,-73.9609174
"lat298",40.7791877,-73.9507958
"lat299",40.773008,-73.96032
"lat300",40.7677772,-73.9615615
"lat301",40.7633532,-73.9577668
"lat302",40.783266,-73.9507404
"lat303",40.7785105,-73.9559544
"lat304",40.7689269,-73.9603985
"lat305",40.7293961,-73.9980108
"lat306",40.7663184,-73.9580934
"lat307",40.7750314,-73.9553383
"lat308",40.7805193,-73.9554251
"lat309",40.7785628,-73.9512744
"lat310",40.7788867,-73.9602326
"lat311",40.7714157,-73.9477655
"lat312",40.7791877,-73.9507958
"lat313",40.7819304,-73.9471644
"lat314",40.781684,-73.948549
"lat315",40.7741824,-73.950554
"lat316",40.774621,-73.9484401
"lat317",40.7641257,-73.9617869
"lat318",40.770436,-73.957401
"lat319",40.7729738,-73.9582662
"lat320",40.7788126,-73.9544394
"lat321",40.7798082,-73.9503372
"lat322",40.7712676,-73.9613648
"lat323",40.7694777,-73.9581676
"lat324",40.7633513,-73.9699703
"lat325",40.7845786,-73.9521845
"lat326",40.7754759,-73.9557515
"lat327",40.7656018,-73.956147
"lat328",40.7609776,-73.9617236
"lat329",40.7755788,-73.9586445
"lat330",40.8480497,-73.9322163
"lat331",40.7775577,-73.950363
"lat332",40.7754782,-73.954615
"lat333",40.7236548,-73.9852944
"lat334",40.7793931,-73.9609174
"lat335",40.7754503,-73.9568392
"lat336",40.7783276,-73.9501722
"lat337",40.7691012,-73.9606938
"lat338",40.7640743,-73.9615199
"lat339",40.777554,-73.962352
"lat340",40.7789021,-73.9549789
"lat341",40.7788867,-73.9602326
"lat342",40.7767207,-73.9454538
"lat343",40.775323,-73.949177
"lat344",40.7744773,-73.9462919
"lat345",40.7717689,-73.955783
"lat346",40.7796968,-73.9587133
"lat347",40.7789698,-73.9569914
"lat348",40.77417,-73.9525371
"lat349",40.7864669,-73.9529386
"lat350",40.7760342,-73.9536463
"lat351",40.7778658,-73.9492308
"lat352",40.7736436,-73.9472103
"lat353",40.7825826,-73.9510439
